ID,Имя,Фамилия,Отчество,Пол,Дата рождения,Дата смерти,Место рождения,Биография,Фото,Галерея,ID отца,ID матери,ID супруга
1,Василий,Иванов,Петрович,M,1895-03-15,1975-08-20,Москва,Основатель рода. Участник Первой мировой войны. Работал на фабрике,,,,,2
2,Екатерина,Иванова,Сергеевна,F,1898-06-22,1978-12-10,Москва,Работала учительницей в начальной школе,,,,,1
3,Николай,Иванов,Васильевич,M,1920-02-10,2000-05-15,Москва,Участник ВОВ. Инженер-конструктор,,,1,2,4
4,Анна,Иванова,Михайловна,F,1922-08-05,2005-11-30,Москва,Врач-терапевт. Работала в поликлинике,,,,,3
5,Владимир,Иванов,Николаевич,M,1945-05-09,2018-03-12,Москва,Родился в День Победы. Преподаватель математики,,,3,4,6
6,Ольга,Иванова,Ивановна,F,1948-07-14,,Москва,Библиотекарь,,,,,5
7,Алексей,Иванов,Владимирович,M,1970-11-20,,Москва,Программист. Работает в IT-компании,,,5,6,8
8,Марина,Иванова,Петровна,F,1972-03-25,,Москва,Дизайнер интерьеров,,,,,7
9,Дмитрий,Иванов,Алексеевич,M,1995-08-30,,Москва,Студент технического университета,,,7,8,
10,Елена,Иванова,Алексеевна,F,1998-04-18,,Москва,Медицинская сестра,,,7,8,
11,Иван,Иванов,Николаевич,M,1950-12-25,2010-07-08,Москва,Брат Владимира. Механик на заводе,,,3,4,12
12,Людмила,Иванова,Дмитриевна,F,1952-09-15,,Москва,Бухгалтер,,,,,11
13,Сергей,Иванов,Иванович,M,1975-06-10,,Москва,Юрист,,,11,12,14
14,Наталья,Иванова,Андреевна,F,1977-02-28,,Москва,Учительница английского,,,,,13
15,Максим,Иванов,Сергеевич,M,2000-10-05,,Москва,Студент,,,13,14,
100,Петр,Петров,Иванович,M,1900-01-08,1980-02-25,Санкт-Петербург,Основатель рода Петровых. Рабочий на судостроительном заводе,,,,,101
101,Мария,Петрова,Александровна,F,1902-11-15,1982-06-18,Санкт-Петербург,Швея. Работала на швейной фабрике,,,,,100
102,Александр,Петров,Петрович,M,1925-07-20,1995-12-03,Санкт-Петербург,Морской офицер. Участник ВОВ,,,100,101,103
103,Вера,Петрова,Николаевна,F,1928-04-12,2008-09-22,Санкт-Петербург,Медсестра в военном госпитале,,,,,102
104,Михаил,Петров,Александрович,M,1950-03-18,,Санкт-Петербург,Инженер-судостроитель,,,102,103,105
105,Ирина,Петрова,Сергеевна,F,1952-08-30,,Санкт-Петербург,Экономист,,,,,104
106,Андрей,Петров,Михайлович,M,1975-12-22,,Санкт-Петербург,Архитектор,,,104,105,107
107,Светлана,Петрова,Владимировна,F,1978-05-09,,Санкт-Петербург,Психолог,,,,,106
108,Екатерина,Петрова,Андреевна,F,2000-02-14,,Санкт-Петербург,Студентка медицинского,,,106,107,
109,Павел,Петров,Андреевич,M,2003-07-25,,Санкт-Петербург,Школьник,,,106,107,
110,Николай,Петров,Александрович,M,1955-09-05,,Санкт-Петербург,Брат Михаила. Капитан корабля,,,102,103,111
111,Татьяна,Петрова,Ивановна,F,1957-01-20,,Санкт-Петербург,Преподаватель истории,,,,,110
112,Виктор,Петров,Николаевич,M,1980-11-11,,Санкт-Петербург,Программист,,,110,111,113
113,Анна,Петрова,Дмитриевна,F,1982-06-03,,Санкт-Петербург,Фотограф,,,,,112
114,София,Петрова,Викторовна,F,2005-04-17,,Санкт-Петербург,Школьница,,,112,113,
200,Григорий,Сидоров,Федорович,M,1897-10-12,1973-05-30,Казань,Основатель рода Сидоровых. Столяр-краснодеревщик,,,,,201
201,Александра,Сидорова,Павловна,F,1899-12-25,1976-08-15,Казань,Портниха. Шила на заказ,,,,,200
202,Федор,Сидоров,Григорьевич,M,1922-09-18,1998-03-28,Казань,Участник ВОВ. Работал мастером на заводе,,,200,201,203
203,Лидия,Сидорова,Васильевна,F,1924-05-07,2002-11-14,Казань,Работала в детском саду,,,,,202
204,Сергей,Сидоров,Федорович,M,1948-08-22,,Казань,Инженер-электрик,,,202,203,205
205,Галина,Сидорова,Николаевна,F,1950-02-16,,Казань,Бухгалтер на предприятии,,,,,204
206,Евгений,Сидоров,Сергеевич,M,1972-06-15,,Казань,Предприниматель. Владеет магазином,,,204,205,207
207,Юлия,Сидорова,Игоревна,F,1974-10-28,,Казань,Переводчик английского,,,,,206
208,Артем,Сидоров,Евгеньевич,M,1998-03-12,,Казань,Студент экономического,,,206,207,
209,Дарья,Сидорова,Евгеньевна,F,2001-09-08,,Казань,Студентка педагогического,,,206,207,
210,Владимир,Сидоров,Федорович,M,1952-11-30,,Казань,Брат Сергея. Врач-хирург,,,202,203,211
211,Елена,Сидорова,Андреевна,F,1954-07-04,,Казань,Медсестра,,,,,210
212,Денис,Сидоров,Владимирович,M,1978-01-22,,Казань,Врач-педиатр,,,210,211,213
213,Ксения,Сидорова,Михайловна,F,1980-05-19,,Казань,Учительница музыки,,,,,212
214,Алина,Сидорова,Денисовна,F,2004-12-10,,Казань,Школьница,,,212,213,
215,Олег,Сидоров,Денисович,M,2007-08-25,,Казань,Школьник,,,212,213,
